feature,weight,std
out_prncp,0.19305575145731643,0.00021607465727680063
total_pymnt,0.06611464761962023,0.000277802889479176
last_pymnt_amnt,0.0635466260321454,0.00022708173862326692
recoveries,0.059685575746925304,0.000150782133924328
term_ 60 months,0.03453857235018145,0.00023040366463109176
installment,0.01953231762445291,0.00012933415954793968
loan_amnt,9.249132315836128e-06,1.123303216757394e-05
total_rec_late_fee,7.399305852651139e-06,4.483683242572058e-06
mths_since_recent_bc,0.0,0.0
chargeoff_within_12_mths,0.0,0.0
int_rate,0.0,0.0
num_bc_sats,0.0,0.0
acc_open_past_24mths,0.0,0.0
annual_inc,0.0,0.0
num_bc_tl,0.0,0.0
num_sats,0.0,0.0
num_tl_30dpd,0.0,0.0
collections_12_mths_ex_med,0.0,0.0
delinq_amnt,0.0,0.0
inq_last_6mths,0.0,0.0
