feature,weight,std
out_prncp,0.11143817070661063,0.00037651751081448494
recoveries,0.10398614479979103,0.00014337199308293622
total_pymnt,0.04596217567339471,0.00016075673129287133
installment,0.016751103537099476,8.286365727179216e-05
loan_amnt,0.016565195977552415,6.998238479822896e-05
total_rec_late_fee,0.010128262342389038,0.00011264782488931341
last_pymnt_amnt,0.0077877694098822834,0.00013623252923811575
grade_B,2.0348091094746223e-05,4.937685474941886e-06
term_ 60 months,1.2948785242139494e-05,6.952247367298709e-06
inq_last_6mths,3.699652926392183e-06,6.796696421155592e-06
delinq_amnt,0.0,0.0
mths_since_recent_bc,0.0,0.0
num_bc_sats,0.0,0.0
tax_liens,0.0,0.0
num_bc_tl,0.0,0.0
acc_open_past_24mths,0.0,0.0
collections_12_mths_ex_med,0.0,0.0
num_sats,0.0,0.0
chargeoff_within_12_mths,0.0,0.0
annual_inc,0.0,0.0
