feature,weight,std
out_prncp,0.22206519250912776,0.0002454525247116409
total_pymnt,0.08249578586408864,0.000269217282831426
last_pymnt_amnt,0.0712104570689962,0.00021458485303682586
recoveries,0.04742446349251861,0.0001962767432170526
loan_amnt,0.0389994288660795,0.00013451367715689653
term_ 60 months,0.029807178714046877,0.0002574907605848985
installment,0.018224027858386525,9.829351913671855e-05
total_rec_late_fee,0.001259731821408483,7.57554189743508e-05
chargeoff_within_12_mths,0.0,0.0
delinq_amnt,0.0,0.0
mths_since_recent_bc,0.0,0.0
acc_open_past_24mths,0.0,0.0
num_bc_sats,0.0,0.0
annual_inc,0.0,0.0
collections_12_mths_ex_med,0.0,0.0
num_bc_tl,0.0,0.0
num_sats,0.0,0.0
num_tl_30dpd,0.0,0.0
int_rate,0.0,0.0
inq_last_6mths,0.0,0.0
